ID,restaurant_name,address1,city,zip_code,country,state,rating,review_count,price
1,20 spot,3565 20th St,San Francisco,94110,US,CA,4.3,270,$$
2,3rd cousin,919 Cortland Ave,San Francisco,94110,US,CA,4.1,476,$$$$
3,adam’s grub shack,1136 Valencia St,San Francisco,94110,US,CA,4.9,12,
4,aedan koji kitchen,613 York St,San Francisco,94110,US,CA,4.9,30,$$
5,al carajo,3224 1/2 22nd St,San Francisco,94110,US,CA,4.8,182,$$
6,al's super cafe,3286 Mission St,San Francisco,94110,US,CA,3.6,195,$$
7,alnico,1050 Valencia St,San Francisco,94110,US,CA,4.3,837,$$
8,antigua guatemala restaurant,2732 24th St,San Francisco,94110,US,CA,4.8,12,
9,aramex,2020 Mission St,San Francisco,94110,US,CA,3.1,38,
10,bac lieu restaurant,3216 Mission St,San Francisco,94110,US,CA,4.3,366,$$
11,bandit dolores,499 Dolores St,San Francisco,94110,US,CA,4.3,39,$$
12,bao,590 Valencia St,San Francisco,94110,US,CA,4.3,354,$$
13,basa seafood express,3064 24th St,San Francisco,94110,US,CA,4.5,1099,$$
14,belmar - la gallinita meat market,2989 24th St,San Francisco,94110,US,CA,4.3,91,$
15,beloved cafe,3338 24th St,San Francisco,94110,US,CA,4.3,357,$$
16,beretta valencia,1199 Valencia St,San Francisco,94110,US,CA,4,4215,$$
17,bernal star,410 Cortland Ave,San Francisco,94110,US,CA,3.8,379,$$
18,blue plate,3218 Mission St,San Francisco,94110,US,CA,4.2,1607,$$$
19,bobo's bistro,600 York St,San Francisco,94110,US,CA,4,69,$$
20,"bon, nene",2850 21st St,San Francisco,94110,US,CA,4.2,417,$$
21,boogaloos,3296 22nd St,San Francisco,94110,US,CA,3.8,1184,$$
22,breakfast little,3275 22nd St,San Francisco,94110,US,CA,4.7,528,$$
23,buddy,3115 22nd St,San Francisco,94110,US,CA,4.4,93,
24,café de olla,3388 19th St,San Francisco,94110,US,CA,4.8,87,$$
25,cafe gonzalez,1600 Guerrero St,San Francisco,94110,US,CA,5,31,$
26,cafe la taza,2475 Mission St,San Francisco,94110,US,CA,3.9,423,$$
27,casa de la condesa restaurant,2763 Mission St,San Francisco,94110,US,CA,4.4,99,$$
28,cazuela comida mexicana,3771 Mission St,San Francisco,94110,US,CA,4.2,5,
29,cha-ya san francisco,762 Valencia St,San Francisco,94110,US,CA,4,1304,$$
30,chava's restaurant,2839 Mission St,San Francisco,94110,US,CA,3.8,192,$$
31,chic n' time,807 Valencia St,San Francisco,94110,US,CA,4.8,299,$$
